,Image,x0,y0,x1,y1,Car_ref,Car_name,File_loc,Car_type,Year,Height,Width
0,00001.jpg,39,116,569,375,14,Audi TTS Coupe 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Audi TTS Coupe 2012/00001.jpg,Coupe,2012,400,600
1,00002.jpg,36,116,868,587,3,Acura TL Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Acura TL Sedan 2012/00002.jpg,Sedan,2012,675,900
2,00003.jpg,85,109,601,381,91,Dodge Dakota Club Cab 2007,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Dodge Dakota Club Cab 2007/00003.jpg,Cab,2007,480,640
3,00004.jpg,621,393,1484,1096,134,Hyundai Sonata Hybrid Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Hyundai Sonata Hybrid Sedan 2012/00004.jpg,Sedan,2012,1386,2100
4,00005.jpg,14,36,133,99,106,Ford F-450 Super Duty Crew Cab 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Ford F-450 Super Duty Crew Cab 2012/00005.jpg,Cab,2012,108,144
5,00006.jpg,259,289,515,416,123,Geo Metro Convertible 1993,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Geo Metro Convertible 1993/00006.jpg,Convertible,1993,431,575
6,00007.jpg,88,80,541,397,89,Dodge Journey SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Dodge Journey SUV 2012/00007.jpg,SUV,2012,480,640
7,00008.jpg,73,79,591,410,96,Dodge Charger Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Dodge Charger Sedan 2012/00008.jpg,Sedan,2012,480,639
8,00009.jpg,20,126,1269,771,167,Mitsubishi Lancer Sedan 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Mitsubishi Lancer Sedan 2012/00009.jpg,Sedan,2012,843,1280
9,00010.jpg,21,110,623,367,58,Chevrolet Traverse SUV 2012,/content/drive/MyDrive/CapstoneProject/Data/car_data/car_data/train/Chevrolet Traverse SUV 2012/00010.jpg,SUV,2012,480,640
